model,noise_range,n,game_median,myth_median,difference_of_medians,difference_of_medians_ci_low,difference_of_medians_ci_high,paired_effect_mean,paired_effect_std,paired_effect_mean_ci_low,paired_effect_mean_ci_high,paired_effect_median,positive_pairs,zero_pairs,negative_pairs
anthropic/claude-sonnet-4.5,0,5,55.0,75.0,20.0,0.0,20.0,10.0,10.0,2.0,18.0,10.0,3,2,0
anthropic/claude-sonnet-4.5,1,5,51.5,55.0,3.5,-5.400000000000006,20.0,7.419999999999999,11.833511735744382,-1.6600000000000024,16.5,2.5,3,1,1
anthropic/claude-sonnet-4.5,2,5,44.5,64.5,20.0,9.5,28.25,17.0,7.502083044061829,11.7,23.7,13.5,5,0,0
google/gemini-3.7-flash,0,5,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0
google/gemini-3.7-flash,1,5,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0
google/gemini-3.7-flash,2,5,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0
