path,model,provider_model,reasoning_effort,code_commit,code_dirty,config_sha256,num_agents,task_order,game_params_name,replicate_id,noise_seed,pairing_seed,rounds,dyad_decisions,llm_interactions,interaction_errors,input_tokens,output_tokens,reasoning_tokens,estimated_cost_usd,mean_send_fraction,mean_communicated_send_fraction,zero_send_rate,max_send_rate,mean_return_proportion_positive,zero_receipt_rate,final_mean_balance
data/json/noise_experiments/gpt55_negative_only_gate_r2_20260901/gpt55_gate_dyad_game_r2/gpt-5.5-2026-04-23/game/noisy2_crossmodel_negative_game_r3/gpt55_gate_dyad_game_r2_000_neutral_rep01.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,2ece1de681e5c99243df9de181cfce43ee94cd5e,False,d204c480b334a5973ec6145abb9d3a6c077430b80e3d2c0d86a373dc892a53ea,2,game,noisy2_crossmodel_negative_game_r3,1,202608251,202608251,10,10,20,0,9928,961,687,0.07847000000000001,0.5,0.38380000000000003,0.0,0.0,0.256,0.0,50.0
data/json/noise_experiments/gpt55_negative_only_gate_r2_20260901/gpt55_gate_dyad_game_myth_r2/gpt-5.5-2026-04-23/game_myth/noisy2_crossmodel_negative_twotask_r3/gpt55_gate_dyad_game_myth_r2_000_neutral_rep01_memtest_memory_primary_anything.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,2ece1de681e5c99243df9de181cfce43ee94cd5e,False,d204c480b334a5973ec6145abb9d3a6c077430b80e3d2c0d86a373dc892a53ea,2,game_myth,noisy2_crossmodel_negative_twotask_r3,1,202608251,202608251,10,10,40,0,82325,6421,850,0.604255,0.585,0.46880000000000005,0.0,0.0,0.28355353535353534,0.0,54.25
data/json/noise_experiments/gpt55_negative_only_gate_r2_20260901/gpt55_gate_dyad_myth_game_r2/gpt-5.5-2026-04-23/myth_game/noisy2_crossmodel_negative_twotask_r3/gpt55_gate_dyad_myth_game_r2_000_neutral_rep01_memtest_memory_primary_anything.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,2ece1de681e5c99243df9de181cfce43ee94cd5e,False,d204c480b334a5973ec6145abb9d3a6c077430b80e3d2c0d86a373dc892a53ea,2,myth_game,noisy2_crossmodel_negative_twotask_r3,1,202608251,202608251,10,10,40,0,84933,7265,1761,0.642615,1.0,0.8837999999999999,0.0,1.0,0.4404666666666667,0.0,75.0
data/json/noise_experiments/gpt55_negative_only_gate_r2_20260901/gpt55_gate_population_game_r2/gpt-5.5-2026-04-23/game/noisy8_crossmodel_negative_game_r3/gpt55_gate_population_game_r2_000_neutral_rep01.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,2ece1de681e5c99243df9de181cfce43ee94cd5e,False,d204c480b334a5973ec6145abb9d3a6c077430b80e3d2c0d86a373dc892a53ea,8,game,noisy8_crossmodel_negative_game_r3,1,202608251,202608251,10,40,80,0,81920,4102,2926,0.53266,0.915,0.80625,0.025,0.8,0.4241965811965812,0.025,70.75
data/json/noise_experiments/gpt55_negative_only_gate_r2_20260901/gpt55_gate_population_game_myth_r2/gpt-5.5-2026-04-23/game_myth/noisy8_crossmodel_negative_twotask_r3/gpt55_gate_population_game_myth_r2_000_neutral_rep01_memtest_memory_primary_anything.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,2ece1de681e5c99243df9de181cfce43ee94cd5e,False,d204c480b334a5973ec6145abb9d3a6c077430b80e3d2c0d86a373dc892a53ea,8,game_myth,noisy8_crossmodel_negative_twotask_r3,1,202608251,202608251,10,40,160,0,411968,26054,3309,2.8414600000000005,0.905,0.7914,0.0,0.7,0.4149902777777778,0.0,70.25
data/json/noise_experiments/gpt55_negative_only_gate_r2_20260901/gpt55_gate_population_myth_game_r2/gpt-5.5-2026-04-23/myth_game/noisy8_crossmodel_negative_twotask_r3/gpt55_gate_population_myth_game_r2_000_neutral_rep01_memtest_memory_primary_anything.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,2ece1de681e5c99243df9de181cfce43ee94cd5e,False,d204c480b334a5973ec6145abb9d3a6c077430b80e3d2c0d86a373dc892a53ea,8,myth_game,noisy8_crossmodel_negative_twotask_r3,1,202608251,202608251,10,40,160,0,417678,26105,3728,2.87154,0.96,0.8464,0.0,0.8,0.43662731481481487,0.0,73.0
