setting,composition,task_order,round,metric,n_runs_total,n_runs_defined,mean,sd
dyad,Sonnet+GPT,myth_game,1,send,6,6,0.6666666666666666,0.16329931618554522
dyad,Sonnet+GPT,myth_game,2,send,6,6,0.6426666666666667,0.20759447648400153
dyad,Sonnet+GPT,myth_game,3,send,6,6,0.6666666666666666,0.19663841605003501
dyad,Sonnet+GPT,myth_game,4,send,6,6,0.6243333333333333,0.22194924344693465
dyad,Sonnet+GPT,myth_game,5,send,6,6,0.6833333333333332,0.2562550812504343
dyad,Sonnet+GPT,myth_game,6,send,6,6,0.709,0.2421693622240435
dyad,Sonnet+GPT,myth_game,7,send,6,6,0.75,0.21679483388678802
dyad,Sonnet+GPT,myth_game,8,send,6,6,0.7613333333333334,0.2682734922922253
dyad,Sonnet+GPT,myth_game,9,send,6,6,0.6999999999999998,0.23664319132398462
dyad,Sonnet+GPT,myth_game,10,send,6,6,0.8166666666666668,0.23804761428476165
dyad,Sonnet+Sonnet,game,1,send,5,5,0.6,0.0
dyad,Sonnet+Sonnet,game,2,send,5,5,0.51,0.07416198487095663
dyad,Sonnet+Sonnet,game,3,send,5,5,0.5599999999999999,0.0547722557505166
dyad,Sonnet+Sonnet,game,4,send,5,5,0.49000000000000005,0.07416198487095661
dyad,Sonnet+Sonnet,game,5,send,5,5,0.5199999999999999,0.13038404810405294
dyad,Sonnet+Sonnet,game,6,send,5,5,0.5,0.09999999999999998
dyad,Sonnet+Sonnet,game,7,send,5,5,0.48999999999999994,0.1341640786499874
dyad,Sonnet+Sonnet,game,8,send,5,5,0.47000000000000003,0.09746794344808964
dyad,Sonnet+Sonnet,game,9,send,5,5,0.48,0.08366600265340754
dyad,Sonnet+Sonnet,game,10,send,5,5,0.45999999999999996,0.11401754250991379
dyad,Gemini+Gemini,game,1,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game,2,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game,3,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game,4,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game,5,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game,6,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game,7,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game,8,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game,9,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game,10,send,5,5,1.0,0.0
dyad,GPT+GPT,game,1,send,5,5,0.0,0.0
dyad,GPT+GPT,game,2,send,5,5,0.0,0.0
dyad,GPT+GPT,game,3,send,5,5,0.0,0.0
dyad,GPT+GPT,game,4,send,5,5,0.0,0.0
dyad,GPT+GPT,game,5,send,5,5,0.0,0.0
dyad,GPT+GPT,game,6,send,5,5,0.0,0.0
dyad,GPT+GPT,game,7,send,5,5,0.0,0.0
dyad,GPT+GPT,game,8,send,5,5,0.0,0.0
dyad,GPT+GPT,game,9,send,5,5,0.0,0.0
dyad,GPT+GPT,game,10,send,5,5,0.0,0.0
dyad,Sonnet+Sonnet,game_myth,1,send,5,5,0.62,0.10954451150103324
dyad,Sonnet+Sonnet,game_myth,2,send,5,5,0.58,0.08366600265340754
dyad,Sonnet+Sonnet,game_myth,3,send,5,5,0.66,0.1140175425099138
dyad,Sonnet+Sonnet,game_myth,4,send,5,5,0.6,0.07071067811865474
dyad,Sonnet+Sonnet,game_myth,5,send,5,5,0.63,0.10954451150103324
dyad,Sonnet+Sonnet,game_myth,6,send,5,5,0.58,0.08366600265340754
dyad,Sonnet+Sonnet,game_myth,7,send,5,5,0.6399999999999999,0.1140175425099138
dyad,Sonnet+Sonnet,game_myth,8,send,5,5,0.58,0.08366600265340754
dyad,Sonnet+Sonnet,game_myth,9,send,5,5,0.6399999999999999,0.1140175425099138
dyad,Sonnet+Sonnet,game_myth,10,send,5,5,0.586,0.0773304597167248
dyad,Gemini+Gemini,game_myth,1,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game_myth,2,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game_myth,3,send,5,5,1.0,0.0
dyad,Gemini+Gemini,game_myth,4,send,5,5,1.0,0.0
