population,agents,model,defection,task_order,n_runs,send_mean,send_std,send_round1,send_round10,send_best_run,ret_mean,ret_std,ret_round1,ret_round10,ret_best_run,best_rep
population,all,gemini-3.7-flash,defectors50,game_myth,5,0.345,0.048,0.55,0.1,0.425,0.302,0.048,0.22,0.443,0.273,4
population,all,gemini-3.7-flash,defectors50,myth_game,5,0.365,0.029,0.55,0.3,0.4,0.296,0.02,0.217,0.278,0.296,0
population,all,gemini-3.7-flash,none,game,5,1.0,0.0,1.0,1.0,1.0,0.448,0.005,0.435,0.443,0.452,0
population,all,gemini-3.7-flash,none,game_myth,5,1.0,0.0,1.0,1.0,1.0,0.448,0.004,0.433,0.443,0.451,0
population,all,gemini-3.7-flash,none,myth_game,5,1.0,0.0,1.0,1.0,1.0,0.449,0.005,0.438,0.443,0.452,0
population,all,gpt-5-nano,defectors25,game,5,0.003,0.007,0.03,0.0,0.015,0.0,nan,0.0,nan,0.0,0
population,all,gpt-5-nano,defectors25,game_myth,5,0.143,0.125,0.09,0.2,0.286,0.215,0.156,0.167,0.361,0.371,1
population,all,gpt-5-nano,defectors25,myth_game,5,0.17,0.105,0.57,0.1,0.335,0.282,0.061,0.203,0.411,0.35,3
population,all,gpt-5-nano,defectors50,game,5,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0
population,all,gpt-5-nano,defectors50,game_myth,5,0.01,0.015,0.0,0.0,0.035,0.098,0.021,nan,nan,0.109,2
population,all,gpt-5-nano,defectors50,myth_game,5,0.097,0.062,0.365,0.0,0.177,0.148,0.114,0.194,nan,0.263,4
population,all,gpt-5-nano,none,game,5,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0
population,all,gpt-5-nano,none,game_myth,5,0.26,0.143,0.0,0.3,0.46,0.32,0.027,nan,0.276,0.357,3
population,all,gpt-5-nano,none,myth_game,5,0.4,0.166,0.56,0.2,0.517,0.312,0.04,0.296,0.396,0.33,2
population,ordinary,claude-sonnet-4.5,defectors25,game,5,0.43,0.043,0.61,0.402,0.492,0.386,0.025,0.393,0.366,0.401,4
population,ordinary,claude-sonnet-4.5,defectors25,game_myth,5,0.528,0.025,0.627,0.488,0.551,0.446,0.021,0.368,0.445,0.434,0
population,ordinary,claude-sonnet-4.5,defectors25,myth_game,5,0.625,0.073,0.803,0.553,0.717,0.476,0.025,0.451,0.478,0.459,4
population,ordinary,claude-sonnet-4.5,defectors50,game,5,0.235,0.062,0.62,0.0,0.3,0.381,0.067,0.375,nan,0.419,2
population,ordinary,claude-sonnet-4.5,defectors50,game_myth,5,0.362,0.041,0.6,0.193,0.417,0.442,0.021,0.403,0.426,0.424,1
population,ordinary,claude-sonnet-4.5,defectors50,myth_game,5,0.457,0.091,0.747,0.12,0.57,0.491,0.05,0.466,0.486,0.486,1
population,ordinary,claude-sonnet-4.5,none,game,5,0.603,0.02,0.62,0.605,0.632,0.395,0.017,0.361,0.394,0.42,3
population,ordinary,claude-sonnet-4.5,none,game_myth,5,0.582,0.018,0.6,0.595,0.607,0.408,0.009,0.377,0.406,0.413,1
population,ordinary,claude-sonnet-4.5,none,myth_game,5,0.875,0.089,0.83,0.908,0.968,0.504,0.029,0.446,0.524,0.536,1
population,ordinary,gemini-3.7-flash,defectors25,game,5,0.826,0.044,1.0,0.85,0.858,0.446,0.004,0.437,0.434,0.445,1
population,ordinary,gemini-3.7-flash,defectors25,game_myth,5,0.858,0.037,1.0,0.883,0.908,0.448,0.005,0.436,0.439,0.45,2
population,ordinary,gemini-3.7-flash,defectors25,myth_game,5,0.867,0.055,1.0,0.85,0.908,0.447,0.004,0.44,0.434,0.45,2
population,ordinary,gemini-3.7-flash,defectors50,game,5,0.652,0.077,1.0,0.667,0.75,0.449,0.008,0.425,0.445,0.453,1
population,ordinary,gemini-3.7-flash,defectors50,game_myth,5,0.713,0.087,1.0,0.2,0.85,0.454,0.01,0.436,0.443,0.456,4
population,ordinary,gemini-3.7-flash,defectors50,myth_game,5,0.754,0.061,1.0,0.633,0.817,0.456,0.011,0.429,0.464,0.456,1
population,ordinary,gemini-3.7-flash,none,game,5,1.0,0.0,1.0,1.0,1.0,0.448,0.005,0.435,0.443,0.452,0
population,ordinary,gemini-3.7-flash,none,game_myth,5,1.0,0.0,1.0,1.0,1.0,0.448,0.004,0.433,0.443,0.451,0
population,ordinary,gemini-3.7-flash,none,myth_game,5,1.0,0.0,1.0,1.0,1.0,0.449,0.005,0.438,0.443,0.452,0
population,ordinary,gpt-5-nano,defectors25,game,5,0.004,0.009,0.04,0.0,0.02,0.0,nan,0.0,nan,0.0,0
population,ordinary,gpt-5-nano,defectors25,game_myth,5,0.196,0.178,0.103,0.25,0.426,0.295,0.136,0.335,0.43,0.371,1
population,ordinary,gpt-5-nano,defectors25,myth_game,5,0.228,0.151,0.687,0.2,0.472,0.318,0.048,0.288,0.411,0.362,3
population,ordinary,gpt-5-nano,defectors50,game,5,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0
population,ordinary,gpt-5-nano,defectors50,game_myth,5,0.022,0.03,0.0,0.0,0.072,0.143,0.074,nan,nan,0.137,2
population,ordinary,gpt-5-nano,defectors50,myth_game,5,0.206,0.146,0.683,0.0,0.394,0.303,0.055,0.346,nan,0.324,4
population,ordinary,gpt-5-nano,none,game,5,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0
population,ordinary,gpt-5-nano,none,game_myth,5,0.26,0.143,0.0,0.3,0.46,0.32,0.027,nan,0.276,0.357,3
population,ordinary,gpt-5-nano,none,myth_game,5,0.4,0.166,0.56,0.2,0.517,0.312,0.04,0.296,0.396,0.33,2
