path,model,provider_model,reasoning_effort,code_commit,code_dirty,config_sha256,num_agents,task_order,game_params_name,replicate_id,noise_seed,pairing_seed,rounds,dyad_decisions,llm_interactions,interaction_errors,input_tokens,output_tokens,reasoning_tokens,estimated_cost_usd,mean_send_fraction,mean_communicated_send_fraction,zero_send_rate,max_send_rate,mean_return_proportion_positive,zero_receipt_rate,final_mean_balance
data/json/noise_experiments/gpt55_negative_only_gate_r1_20260901/gpt55_gate_dyad_game_r1/gpt-5.5-2026-04-23/game/noisy2_crossmodel_negative_game_r3/gpt55_gate_dyad_game_r1_000_neutral_rep00.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,f53fa6d9fcde5bd10528054423914b03db8881fc,False,86f5fff912effffc406352cc05c66f7c38f36725bc72c055073b50ad32c4d137,2,game,noisy2_crossmodel_negative_game_r3,0,202608250,202608250,10,10,20,0,9806,744,474,0.07135,0.55,0.461,0.0,0.0,0.2797777777777778,0.0,52.5
data/json/noise_experiments/gpt55_negative_only_gate_r1_20260901/gpt55_gate_dyad_game_myth_r1/gpt-5.5-2026-04-23/game_myth/noisy2_crossmodel_negative_twotask_r3/gpt55_gate_dyad_game_myth_r1_000_neutral_rep00_memtest_memory_primary_anything.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,f53fa6d9fcde5bd10528054423914b03db8881fc,False,86f5fff912effffc406352cc05c66f7c38f36725bc72c055073b50ad32c4d137,2,game_myth,noisy2_crossmodel_negative_twotask_r3,0,202608250,202608250,10,10,40,0,82165,6667,1069,0.610835,0.6,0.511,0.0,0.0,0.29500000000000004,0.0,55.0
data/json/noise_experiments/gpt55_negative_only_gate_r1_20260901/gpt55_gate_dyad_myth_game_r1/gpt-5.5-2026-04-23/myth_game/noisy2_crossmodel_negative_twotask_r3/gpt55_gate_dyad_myth_game_r1_000_neutral_rep00_memtest_memory_primary_anything.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,f53fa6d9fcde5bd10528054423914b03db8881fc,False,86f5fff912effffc406352cc05c66f7c38f36725bc72c055073b50ad32c4d137,2,myth_game,noisy2_crossmodel_negative_twotask_r3,0,202608250,202608250,10,10,40,0,85307,6162,578,0.611395,0.8,0.711,0.0,0.0,0.4445833333333333,0.0,65.0
data/json/noise_experiments/gpt55_negative_only_gate_r1_20260901/gpt55_gate_population_game_r1/gpt-5.5-2026-04-23/game/noisy8_crossmodel_negative_game_r3/gpt55_gate_population_game_r1_000_neutral_rep00.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,f53fa6d9fcde5bd10528054423914b03db8881fc,False,86f5fff912effffc406352cc05c66f7c38f36725bc72c055073b50ad32c4d137,8,game,noisy8_crossmodel_negative_game_r3,0,202608250,202608250,10,40,80,0,82590,5040,3802,0.56415,0.5375,0.4429,0.0,0.0,0.27125,0.0,51.875
data/json/noise_experiments/gpt55_negative_only_gate_r1_20260901/gpt55_gate_population_game_myth_r1/gpt-5.5-2026-04-23/game_myth/noisy8_crossmodel_negative_twotask_r3/gpt55_gate_population_game_myth_r1_000_neutral_rep00_memtest_memory_primary_anything.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,f53fa6d9fcde5bd10528054423914b03db8881fc,False,86f5fff912effffc406352cc05c66f7c38f36725bc72c055073b50ad32c4d137,8,game_myth,noisy8_crossmodel_negative_twotask_r3,0,202608250,202608250,10,40,160,0,407632,27494,4996,2.86298,0.615,0.5204,0.0,0.0,0.29729761904761903,0.0,55.75
data/json/noise_experiments/gpt55_negative_only_gate_r1_20260901/gpt55_gate_population_myth_game_r1/gpt-5.5-2026-04-23/myth_game/noisy8_crossmodel_negative_twotask_r3/gpt55_gate_population_myth_game_r1_000_neutral_rep00_memtest_memory_primary_anything.json,openai/gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,low,f53fa6d9fcde5bd10528054423914b03db8881fc,False,86f5fff912effffc406352cc05c66f7c38f36725bc72c055073b50ad32c4d137,8,myth_game,noisy8_crossmodel_negative_twotask_r3,0,202608250,202608250,10,40,160,0,416791,28310,5863,2.933255,0.6835,0.5889,0.0,0.0,0.339953373015873,0.0,59.175
