setting,composition,task_order,family,metric,n_mixed_runs,mixed_mean,mixed_sd,n_homogeneous_runs,homogeneous_mean,homogeneous_sd,shift_mixed_minus_homogeneous
population,1 GPT + 7 Sonnet,myth_game,GPT,sent,5,4.76,0.26076809620810587,5,2.0006500000000003,0.8322889296992961,2.7593499999999995
population,1 GPT + 7 Sonnet,myth_game,Sonnet,sent,5,3.9028571428571426,0.4741964201656936,5,4.3735,0.442572734135306,-0.47064285714285736
population,2 GPT + 6 Sonnet,myth_game,GPT,sent,5,4.35,0.282842712474619,5,2.0006500000000003,0.8322889296992961,2.3493499999999994
population,2 GPT + 6 Sonnet,myth_game,Sonnet,sent,5,4.3500000000000005,0.5184445218364472,5,4.3735,0.442572734135306,-0.02349999999999941
population,4 GPT + 4 Sonnet,myth_game,GPT,sent,5,3.8797999999999995,0.7849698720333156,5,2.0006500000000003,0.8322889296992961,1.8791499999999992
population,4 GPT + 4 Sonnet,myth_game,Sonnet,sent,5,3.8105,0.4624202633968368,5,4.3735,0.442572734135306,-0.5629999999999997
dyad,Sonnet+GPT,game,Sonnet,return,1,0.46199999999999997,,5,0.3750607503607503,0.02294537825397247,0.08693924963924965
dyad,Sonnet+GPT,game,GPT,return,6,0.024351851851851836,0.05644664985484427,0,,,
dyad,Sonnet+GPT,game_myth,Sonnet,return,6,0.44846552028218695,0.16164725157226084,5,0.4261876333310295,0.027728179979316033,0.022277886951157455
dyad,Sonnet+GPT,game_myth,GPT,return,6,0.3882142347600035,0.2044761622139633,5,0.3086430555555555,0.09194925465571507,0.079571179204448
dyad,Sonnet+GPT,myth_game,Sonnet,return,6,0.4655377329529215,0.05912236263014255,5,0.48322022806683174,0.10679492960969193,-0.017682495113910235
dyad,Sonnet+GPT,myth_game,GPT,return,6,0.3805356053299039,0.08724430628293667,5,0.3310245726625588,0.05225809773667901,0.04951103266734508
dyad,Sonnet+Gemini,game,Sonnet,return,6,0.43530617283950607,0.05886279406314299,5,0.3750607503607503,0.02294537825397247,0.06024542247875575
dyad,Sonnet+Gemini,game,Gemini,return,6,0.4179259043947081,0.052790178005557825,5,0.4464066666666667,0.007266223228060089,-0.02848076227195856
dyad,Sonnet+Gemini,game_myth,Sonnet,return,6,0.5006222222222222,0.051742794094837445,5,0.4261876333310295,0.027728179979316033,0.0744345888911927
dyad,Sonnet+Gemini,game_myth,Gemini,return,6,0.446025039745628,0.015088814370844474,5,0.4566066666666666,0.016980796343058976,-0.01058162692103859
dyad,Sonnet+Gemini,myth_game,Sonnet,return,6,0.5046888888888889,0.06619252279581189,5,0.48322022806683174,0.10679492960969193,0.021468660822057117
dyad,Sonnet+Gemini,myth_game,Gemini,return,6,0.4491796296296296,0.018083685323990784,5,0.46502,0.02740593609664399,-0.015840370370370394
dyad,Gemini+GPT,game,Gemini,return,1,0.4493333333333333,,5,0.4464066666666667,0.007266223228060089,0.002926666666666633
dyad,Gemini+GPT,game,GPT,return,6,0.05083333333333334,0.12451572859147823,0,,,
dyad,Gemini+GPT,game_myth,Gemini,return,6,0.43547734204793026,0.028217972153977748,5,0.4566066666666666,0.016980796343058976,-0.021129324618736345
dyad,Gemini+GPT,game_myth,GPT,return,6,0.37646666666666656,0.04458204920269043,5,0.3086430555555555,0.09194925465571507,0.06782361111111107
dyad,Gemini+GPT,myth_game,Gemini,return,6,0.44554037999038004,0.019308341853406786,5,0.46502,0.02740593609664399,-0.019479620009619947
dyad,Gemini+GPT,myth_game,GPT,return,6,0.4407666666666667,0.012764934608354098,5,0.3310245726625588,0.05225809773667901,0.10974209400410789
population,1 Gemini + 7 GPT,game,Gemini,return,0,,,5,0.448125,0.0046791054463196455,
population,1 Gemini + 7 GPT,game,GPT,return,5,0.0,0.0,0,,,
population,2 Gemini + 6 GPT,game,Gemini,return,2,0.4439166666666666,0.011431559629182516,5,0.448125,0.0046791054463196455,-0.0042083333333333695
population,2 Gemini + 6 GPT,game,GPT,return,5,0.06348444444444444,0.096064924547907,0,,,
population,4 Gemini + 4 GPT,game,Gemini,return,5,0.4359694502447443,0.021555094568485245,5,0.448125,0.0046791054463196455,-0.012155549755255679
population,4 Gemini + 4 GPT,game,GPT,return,5,0.12163915343915341,0.07870627681534743,0,,,
population,1 Gemini + 7 GPT,game_myth,Gemini,return,5,0.4248307407407407,0.04415884082387234,5,0.44816500000000004,0.004153911309436795,-0.02333425925925936
population,1 Gemini + 7 GPT,game_myth,GPT,return,5,0.3611055811331478,0.06237256387169033,5,0.29392332067167465,0.025384414686845415,0.06718226046147313
population,2 Gemini + 6 GPT,game_myth,Gemini,return,5,0.42964470899470897,0.02664470676991989,5,0.44816500000000004,0.004153911309436795,-0.018520291005291067
population,2 Gemini + 6 GPT,game_myth,GPT,return,5,0.36509275491759696,0.01932748654289246,5,0.29392332067167465,0.025384414686845415,0.07116943424592231
population,4 Gemini + 4 GPT,game_myth,Gemini,return,5,0.43956467752646866,0.020035981809246692,5,0.44816500000000004,0.004153911309436795,-0.008600322473531374
population,4 Gemini + 4 GPT,game_myth,GPT,return,5,0.39483758934372964,0.01699682357995791,5,0.29392332067167465,0.025384414686845415,0.100914268672055
population,1 Gemini + 7 GPT,myth_game,Gemini,return,5,0.4415344444444444,0.014832619833027184,5,0.4493033333333333,0.005240555658621643,-0.007768888888888881
