model,defection,difference_mean,difference_sd,ci95_low,ci95_high
claude-sonnet-4.5,defectors25,7.6033333333333335,3.6168855540521454,3.112376755563445,12.094289911103221
claude-sonnet-4.5,defectors50,3.1375,3.900220346339422,-1.7052631887664784,7.980263188766479
claude-sonnet-4.5,none,13.559999999999999,3.615833237305061,9.07035004604958,18.049649953950418
gemini-3.7-flash,defectors25,-1.3000000000000014,0.7763876465901391,-2.2640125893524488,-0.3359874106475542
gemini-3.7-flash,defectors50,-1.95,1.0216408370851275,-3.21853464641299,-0.6814653535870101
gemini-3.7-flash,none,0.0,0.0,0.0,0.0
gpt-5-nano,defectors25,8.162666666666668,7.040286610327421,-0.5790037537901487,16.904337087123487
gpt-5-nano,defectors50,5.35,6.321713573074946,-2.499444150084048,13.199444150084048
gpt-5-nano,none,20.0065,8.322889296992962,9.672267999624612,30.340732000375386
