model,num_agents,population,condition,condition_label,treatment,treatment_label,receiver_scope,round,metric,n_runs,mean,ci_low,ci_high
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,3,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,3,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,4,return_proportion,5,0.34211111111111114,0.2604236970682838,0.4237985251539385
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,4,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,4,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,5,return_proportion,5,0.36634920634920637,0.258897338391428,0.47380107430698476
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,5,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,5,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,6,return_proportion,5,0.4024444444444445,0.29456681364531656,0.5103220752435724
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,6,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,6,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,7,return_proportion,5,0.35717171717171714,0.2747042114664999,0.43963922287693435
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,7,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,7,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,8,return_proportion,5,0.37923809523809526,0.27464487439123814,0.4838313160849524
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,8,zero_receipt_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,8,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,ordinary,9,return_proportion,5,0.3762222222222222,0.2572635180539993,0.4951809263904451
