setting,exposure,n_runs,moral_cos_shown_mean,moral_cos_shown_sd,moral_cos_unseen_mean,moral_cos_unseen_sd,moral_cos_excess_mean,moral_cos_excess_sd,moral_cos_excess_p,moral_cos_excess_runs_positive,same_label_shown_mean,same_label_shown_sd,same_label_unseen_mean,same_label_unseen_sd,same_label_excess_mean,same_label_excess_sd,same_label_excess_p,same_label_excess_runs_positive
2-agent homogeneous,same family,30,0.7738849711087016,0.042450517468648155,0.7398548440524826,0.042908194387975065,0.03403012705621896,0.03345408435022673,1.6838312149047852e-06,26,0.6759259259259258,0.17267788770408354,0.598148148148148,0.13705364746937654,0.07777777777777775,0.10358875448301665,0.000909503116688945,23
2-agent mixed,other family,36,0.7420430780623298,0.03522327414905102,0.7259970442794356,0.03297121304698845,0.016046033782894334,0.020857773597500462,0.00010785146150738001,26,0.5891754850088183,0.1602323647419159,0.4598517416225751,0.08380684169049232,0.1293237433862434,0.15148774603394227,0.00010410857203479533,25
8-agent homogeneous,same family,30,0.7545890081182488,0.024842255774963753,0.7360243268460359,0.03811130611406315,0.018564681272212856,0.01698259973937157,9.313225746154785e-09,28,0.6485224089635854,0.10653858203695522,0.5988162413113395,0.10729782983997344,0.04970616765224609,0.060519866530682406,0.000306387109293369,23
8-agent mixed,other family,60,0.7207459058277503,0.03122301068316399,0.7169172411083718,0.026738596025387494,0.003828664719378589,0.01879476210082601,0.10220093875898682,32,0.49965191056131164,0.17312912274220463,0.501146225583041,0.17905898378274893,-0.0014943150217293735,0.10300305957464899,0.7398010226970708,32
8-agent mixed,same family,60,0.7448166737608415,0.023415590412504232,0.7223250459438229,0.03609045684916218,0.02249162781701864,0.01967784759553603,1.9177548500958344e-10,53,0.6590569689432704,0.1272813593304327,0.614901446867099,0.11609296664587593,0.04415552207617121,0.08701986881858262,0.0007254840519942453,38
