size,composition,family,partner_family,group,round,p_reads_as_partner_mean,p_reads_as_partner_sd,n_myths
8,2 Gemini + 6 GPT,Gemini,GPT,mixed,9,0.02051107004558482,0.01573122822698399,20
8,2 Gemini + 6 GPT,Gemini,GPT,mixed,10,0.029420737885539044,0.02570473320214757,20
8,2 Gemini + 6 GPT,Gemini,GPT,homogeneous,1,0.02404792687658739,0.014371817105699902,80
8,2 Gemini + 6 GPT,Gemini,GPT,homogeneous,2,0.014916166801062886,0.008685392262699545,80
8,2 Gemini + 6 GPT,Gemini,GPT,homogeneous,3,0.01082862284565928,0.005571553280168902,80
8,2 Gemini + 6 GPT,Gemini,GPT,homogeneous,4,0.008514479113285572,0.004292280790459556,80
8,2 Gemini + 6 GPT,Gemini,GPT,homogeneous,5,0.008134106469111741,0.004437800768178995,80
8,2 Gemini + 6 GPT,Gemini,GPT,homogeneous,6,0.0066801361871054645,0.003680409122906094,80
8,2 Gemini + 6 GPT,Gemini,GPT,homogeneous,7,0.006930929258374738,0.004397970091980289,80
8,2 Gemini + 6 GPT,Gemini,GPT,homogeneous,8,0.00558416563177107,0.0026694848426771904,80
8,2 Gemini + 6 GPT,Gemini,GPT,homogeneous,9,0.00559508277778815,0.0029963863193863886,80
8,2 Gemini + 6 GPT,Gemini,GPT,homogeneous,10,0.005146315521222709,0.0022869395671497104,80
8,4 GPT + 4 Sonnet,GPT,Sonnet,mixed,1,0.039960631708173266,0.038406239935048256,40
8,4 GPT + 4 Sonnet,GPT,Sonnet,mixed,2,0.03539527198077287,0.02697434100762554,40
8,4 GPT + 4 Sonnet,GPT,Sonnet,mixed,3,0.034939132538775106,0.027815426125300174,40
8,4 GPT + 4 Sonnet,GPT,Sonnet,mixed,4,0.020403531238472793,0.01443985900029153,40
8,4 GPT + 4 Sonnet,GPT,Sonnet,mixed,5,0.039441357198957985,0.04464731802308745,40
8,4 GPT + 4 Sonnet,GPT,Sonnet,mixed,6,0.03236730779714152,0.03490910979668208,40
8,4 GPT + 4 Sonnet,GPT,Sonnet,mixed,7,0.031802953811032916,0.04133496606196595,40
8,4 GPT + 4 Sonnet,GPT,Sonnet,mixed,8,0.031443054776211656,0.04170570887489012,40
8,4 GPT + 4 Sonnet,GPT,Sonnet,mixed,9,0.036332009415318355,0.05731417190199719,40
8,4 GPT + 4 Sonnet,GPT,Sonnet,mixed,10,0.038564684771873775,0.04249116597015377,40
8,4 GPT + 4 Sonnet,GPT,Sonnet,homogeneous,1,0.039467753248596804,0.03334062118613258,80
8,4 GPT + 4 Sonnet,GPT,Sonnet,homogeneous,2,0.020352950120556493,0.012417366210997276,80
8,4 GPT + 4 Sonnet,GPT,Sonnet,homogeneous,3,0.015621551539230935,0.010106382561629514,80
8,4 GPT + 4 Sonnet,GPT,Sonnet,homogeneous,4,0.014301676436189717,0.010250310705291352,80
8,4 GPT + 4 Sonnet,GPT,Sonnet,homogeneous,5,0.011896378792283245,0.0060708192027973075,80
8,4 GPT + 4 Sonnet,GPT,Sonnet,homogeneous,6,0.010822523980197512,0.006095729790687822,80
8,4 GPT + 4 Sonnet,GPT,Sonnet,homogeneous,7,0.011391937464474127,0.006159045465969658,80
8,4 GPT + 4 Sonnet,GPT,Sonnet,homogeneous,8,0.01106439282695831,0.006520325117662742,80
8,4 GPT + 4 Sonnet,GPT,Sonnet,homogeneous,9,0.011203169762462387,0.006876620091124378,80
8,4 GPT + 4 Sonnet,GPT,Sonnet,homogeneous,10,0.01194076484465181,0.007817813026763298,80
8,4 GPT + 4 Sonnet,Sonnet,GPT,mixed,1,0.0391974706079435,0.028188203599401395,40
8,4 GPT + 4 Sonnet,Sonnet,GPT,mixed,2,0.03249222491336473,0.020830278906292934,40
8,4 GPT + 4 Sonnet,Sonnet,GPT,mixed,3,0.041931811176671455,0.04086716251826393,40
8,4 GPT + 4 Sonnet,Sonnet,GPT,mixed,4,0.031205084129473877,0.023578028661932062,40
8,4 GPT + 4 Sonnet,Sonnet,GPT,mixed,5,0.027378650235611125,0.024814515109909587,40
8,4 GPT + 4 Sonnet,Sonnet,GPT,mixed,6,0.019922719072864813,0.018737450271579057,40
8,4 GPT + 4 Sonnet,Sonnet,GPT,mixed,7,0.018143512739173685,0.0115636916826867,40
8,4 GPT + 4 Sonnet,Sonnet,GPT,mixed,8,0.023172430404399622,0.0358606378934681,40
8,4 GPT + 4 Sonnet,Sonnet,GPT,mixed,9,0.01703175613233456,0.01016543049400267,40
8,4 GPT + 4 Sonnet,Sonnet,GPT,mixed,10,0.018022365692252806,0.013332111091783493,40
8,4 GPT + 4 Sonnet,Sonnet,GPT,homogeneous,1,0.03652244875692282,0.024953168799104405,80
8,4 GPT + 4 Sonnet,Sonnet,GPT,homogeneous,2,0.02924864673205136,0.020964374181502394,80
8,4 GPT + 4 Sonnet,Sonnet,GPT,homogeneous,3,0.019550710766850624,0.014934373001349838,80
8,4 GPT + 4 Sonnet,Sonnet,GPT,homogeneous,4,0.015744021460804027,0.010420160582941974,80
8,4 GPT + 4 Sonnet,Sonnet,GPT,homogeneous,5,0.011957411156286875,0.008070846359798925,80
8,4 GPT + 4 Sonnet,Sonnet,GPT,homogeneous,6,0.011293417443488541,0.006273959215364531,80
8,4 GPT + 4 Sonnet,Sonnet,GPT,homogeneous,7,0.012732195753245693,0.009772037815869241,80
8,4 GPT + 4 Sonnet,Sonnet,GPT,homogeneous,8,0.014471640126070561,0.010238606109679036,80
8,4 GPT + 4 Sonnet,Sonnet,GPT,homogeneous,9,0.013516136340115684,0.008718722040886227,80
8,4 GPT + 4 Sonnet,Sonnet,GPT,homogeneous,10,0.014666447053773683,0.009005788275785728,80
8,4 Gemini + 4 GPT,GPT,Gemini,mixed,1,0.01897806472263524,0.01520560483059949,40
8,4 Gemini + 4 GPT,GPT,Gemini,mixed,2,0.024532489137814906,0.033269578702697145,40
8,4 Gemini + 4 GPT,GPT,Gemini,mixed,3,0.024091663725786132,0.03211376968823296,40
8,4 Gemini + 4 GPT,GPT,Gemini,mixed,4,0.0205737847286619,0.03017222951406052,40
8,4 Gemini + 4 GPT,GPT,Gemini,mixed,5,0.021434783147853943,0.020024938100963417,40
8,4 Gemini + 4 GPT,GPT,Gemini,mixed,6,0.024722716015121722,0.029343495182705792,40
8,4 Gemini + 4 GPT,GPT,Gemini,mixed,7,0.014650139280757618,0.014138731808495411,40
8,4 Gemini + 4 GPT,GPT,Gemini,mixed,8,0.01905231428204175,0.01679622843885251,40
8,4 Gemini + 4 GPT,GPT,Gemini,mixed,9,0.040941081624300144,0.13691666408937098,40
8,4 Gemini + 4 GPT,GPT,Gemini,mixed,10,0.019205096488032748,0.01690390629177505,40
8,4 Gemini + 4 GPT,GPT,Gemini,homogeneous,1,0.018199400446004176,0.012999832236219425,80
8,4 Gemini + 4 GPT,GPT,Gemini,homogeneous,2,0.011232821495804101,0.008100611434124114,80
8,4 Gemini + 4 GPT,GPT,Gemini,homogeneous,3,0.008203742443000999,0.00459230922580423,80
8,4 Gemini + 4 GPT,GPT,Gemini,homogeneous,4,0.00852935732042832,0.005216489372935054,80
8,4 Gemini + 4 GPT,GPT,Gemini,homogeneous,5,0.006551608579788014,0.00303210215007337,80
8,4 Gemini + 4 GPT,GPT,Gemini,homogeneous,6,0.006257599495809523,0.0029712563246433047,80
8,4 Gemini + 4 GPT,GPT,Gemini,homogeneous,7,0.006721198219233289,0.0035887058459883998,80
8,4 Gemini + 4 GPT,GPT,Gemini,homogeneous,8,0.006075327334631035,0.003200504784167484,80
8,4 Gemini + 4 GPT,GPT,Gemini,homogeneous,9,0.0062000221423438775,0.003186211955421999,80
8,4 Gemini + 4 GPT,GPT,Gemini,homogeneous,10,0.006529506257786142,0.00335509130999842,80
8,4 Gemini + 4 GPT,Gemini,GPT,mixed,1,0.021802933340987936,0.015113253346576563,40
8,4 Gemini + 4 GPT,Gemini,GPT,mixed,2,0.027120796464564768,0.020854807098101263,40
8,4 Gemini + 4 GPT,Gemini,GPT,mixed,3,0.028442958911612626,0.030218759443299128,40
8,4 Gemini + 4 GPT,Gemini,GPT,mixed,4,0.02796276869493588,0.04505961633880889,40
8,4 Gemini + 4 GPT,Gemini,GPT,mixed,5,0.02156815506145122,0.018783902798401107,40
8,4 Gemini + 4 GPT,Gemini,GPT,mixed,6,0.0156611472760288,0.017079984383817654,40
8,4 Gemini + 4 GPT,Gemini,GPT,mixed,7,0.012891232877589576,0.012193856566349946,40
8,4 Gemini + 4 GPT,Gemini,GPT,mixed,8,0.010953618818733076,0.00890858783874694,40
8,4 Gemini + 4 GPT,Gemini,GPT,mixed,9,0.015768468638009514,0.015378064021650895,40
8,4 Gemini + 4 GPT,Gemini,GPT,mixed,10,0.012333561631238095,0.011318584926246926,40
8,4 Gemini + 4 GPT,Gemini,GPT,homogeneous,1,0.02404792687658739,0.014371817105699902,80
8,4 Gemini + 4 GPT,Gemini,GPT,homogeneous,2,0.014916166801062886,0.008685392262699545,80
8,4 Gemini + 4 GPT,Gemini,GPT,homogeneous,3,0.01082862284565928,0.005571553280168902,80
8,4 Gemini + 4 GPT,Gemini,GPT,homogeneous,4,0.008514479113285572,0.004292280790459556,80
8,4 Gemini + 4 GPT,Gemini,GPT,homogeneous,5,0.008134106469111741,0.004437800768178995,80
8,4 Gemini + 4 GPT,Gemini,GPT,homogeneous,6,0.0066801361871054645,0.003680409122906094,80
8,4 Gemini + 4 GPT,Gemini,GPT,homogeneous,7,0.006930929258374738,0.004397970091980289,80
8,4 Gemini + 4 GPT,Gemini,GPT,homogeneous,8,0.00558416563177107,0.0026694848426771904,80
8,4 Gemini + 4 GPT,Gemini,GPT,homogeneous,9,0.00559508277778815,0.0029963863193863886,80
8,4 Gemini + 4 GPT,Gemini,GPT,homogeneous,10,0.005146315521222709,0.0022869395671497104,80
