setting,pair_type,n_runs,moral_distance_mean,moral_distance_sd,same_label_mean,same_label_sd
2-agent homogeneous,same family,30,0.23479974574512902,0.043863834760594723,0.5737037037037037,0.22747589252522468
2-agent mixed,cross family,36,0.26188996775532414,0.033012155805854634,0.5499007936507936,0.18150632716299883
8-agent homogeneous,same family,30,0.2601447011469752,0.03639908953293228,0.579364301276066,0.1400817438244063
8-agent mixed,cross family,60,0.2857095538947457,0.0320223598088678,0.4932416657416657,0.1820547464220346
8-agent mixed,same family,60,0.27376006438147615,0.032173133569267695,0.6169038534227451,0.1364409459371438
