size,exposure,n_runs,adopt_parent_mean,adopt_parent_sd,adopt_null_mean,adopt_null_sd,adopt_excess_mean,adopt_excess_sd,cos_parent_mean,cos_parent_sd,cos_null_mean,cos_null_sd,cos_excess_mean,cos_excess_sd,adopt_excess_p,adopt_excess_runs_positive,cos_excess_p,cos_excess_runs_positive
2,homogeneous,30,0.15951016865059914,0.04636114316283937,0.06396117910106017,0.012141974725186673,0.09553085598192342,0.055541100795236054,0.7942096323326783,0.0909287216885224,0.7221639846210125,0.046364603794112016,0.07204564771166555,0.0566656462637307,1.862645149230957e-09,30,4.7124922275543213e-07,27
2,"mixed, other family",36,0.06671537621857263,0.01426469510958819,0.04552747997214189,0.006183203188736834,0.021187896246430714,0.011204341599159357,0.7127134601964994,0.06357122763101765,0.6594621035741803,0.041696735719553894,0.053251356622319154,0.05043390303335397,2.9103830456733704e-11,36,2.2177118808031082e-08,33
8,homogeneous,30,0.13388268613119136,0.023860054576696665,0.08476397047318979,0.009920153159706988,0.04911871565800159,0.03144669546727827,0.7422397871674212,0.08012903698099011,0.7262494319429,0.07316840532961832,0.01599035522452107,0.026542256828313508,5.587935447692871e-09,29,0.005382779985666275,21
8,"mixed, other family",60,0.059889977324417566,0.014778094797292569,0.04461661417734254,0.006093128822986475,0.01527336314707502,0.011063658264568689,0.6784074917588403,0.04148192378537591,0.6646436463415663,0.03800138491897658,0.013763845417274054,0.016730610652442652,2.4392633264127016e-11,57,1.8629980589316485e-08,49
8,"mixed, same family",60,0.14053106578500082,0.021000363568177468,0.0773333802590191,0.007470151727060876,0.06319768552598173,0.02106310926979104,0.7701852147815568,0.054876733304070564,0.7456869108919952,0.061232011063416164,0.024498303889561573,0.014902875471443875,1.629555794311934e-11,60,9.281672073789129e-11,58
